ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
249774_at	0.0461	0.00011182	-12.361119	2.099364	-1.5899567	SQP1	Squalene monooxygenase 5
254564_at	0.0461	0.00011265	-12.340425	2.092964	-1.7679361	NCED4	nine-cis-epoxycarotenoid dioxygenase 4
258851_at	0.0461	0.00011547	-12.27195	2.071668	-2.627048	GSTF11	glutathione S-transferase F11
253736_at	0.0461	0.00011689	-12.238396	2.061167	-1.6229049	AT4G28780	GDSL esterase/lipase
250207_at	0.0461	0.00011829	-12.205522	2.050837	-1.806365	TT4	chalcone synthase
251684_at	0.0461	0.00011968	12.173588	2.040763	1.5400732	AT3G56410	hypothetical protein
251248_at	0.0461	0.00012046	12.155704	2.035104	2.7855803	PGP21	ABC transporter B family member 21
265539_at	0.0461	0.00012159	12.130312	2.027047	1.3803068	AT2G15830	hypothetical protein
254241_at	0.0461	0.00012356	12.086462	2.013075	1.7702769	CRK11	cysteine-rich receptor-like protein kinase 11
255595_at	0.0461	0.00012466	12.062387	2.005371	1.5145584	AT4G01700	Chitinase family protein
250891_at	0.0461	0.00012525	-12.049549	2.001254	-1.9507368	KCS19	3-ketoacyl-CoA synthase 19
256170_at	0.0494	0.00013636	11.820865	1.926808	1.4656781	AT1G51790	leucine-rich repeat protein kinase-like protein
264057_at	0.0495	0.00013881	-11.773418	1.911095	-1.344178	RAP2.7	TARGET OF EARLY ACTIVATION TAGGED 1
266150_s_at	0.0499	0.000144	11.676421	1.878684	1.6681522	RING///AT2G12290	SBP (S-ribonuclease binding protein) family protein///hypothetical protein
260239_at	0.0499	0.00014774	11.609104	1.855958	1.6605459	AT1G74360	putative LRR receptor-like serine/threonine-protein kinase
252911_at	0.0499	0.00015249	-11.526339	1.827754	-2.2702718	CYP96A12	cytochrome P450, family 96, subfamily A, polypeptide 12
266746_s_at	0.0499	0.00015401	11.500565	1.818911	1.7352317	GSTF2///GSTF3	glutathione S-transferase F2///glutathione S-transferase F3
261834_at	0.0499	0.00015603	-11.466897	1.807316	-1.3748487	AT1G10640	pectin lyase-like protein
254318_at	0.0499	0.00015688	11.452788	1.802443	1.605317	AT4G22530	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
251858_at	0.0499	0.00015857	-11.425137	1.792866	-1.4488566	PIP2;5	putative aquaporin PIP2-5
260522_x_at	0.0499	0.00015956	11.409006	1.787264	2.218888	AT2G41730	hypothetical protein
245688_at	0.0499	0.00015959	-11.408628	1.787133	-2.3442733	AGP31	arabinogalactan protein 31
267537_at	0.0511	0.00016579	11.310694	1.752874	1.3552361	GK-1	guanylate kinase 1
254683_at	0.0517	0.00017056	-11.238482	1.727341	-1.4559986	AT4G13800	hypothetical protein
245266_at	0.0517	0.00017367	11.19265	1.711014	1.3792108	AT4G17070	peptidyl-prolyl cis-trans isomerase
245566_at	0.0517	0.00017462	11.178836	1.706074	1.9944247	AT4G14610	pseudo
260734_at	0.0517	0.00018958	10.972776	1.631348	1.3151029	AT1G17600	TIR-NBS-LRR class disease resistance protein
265536_at	0.0517	0.00018974	10.970677	1.630577	1.6917737	AT2G15880	pollen-specific leucine-rich repeat extensin-like protein 3
262826_at	0.0517	0.00019245	-10.935476	1.61761	-1.5372875	CYP71B2	cytochrome P450 71B2
255604_at	0.0517	0.00019362	-10.920417	1.612045	-2.1744973	TBL26	protein TRICHOME BIREFRINGENCE-LIKE 26
257798_at	0.0517	0.00019485	-10.904866	1.606287	-1.537162	NAI2	TSK-associating protein 1-like protein
254063_at	0.0517	0.00019645	10.88458	1.598759	2.9085626	AT4G25390	receptor-like serine/threonine-protein kinase
263979_at	0.0517	0.00019734	-10.873439	1.594616	-3.9526208	PDF1	protodermal factor 1
250910_at	0.0517	0.00019803	10.864868	1.591424	1.6495352	HSFA3	heat shock transcription factor A3
256948_at	0.0517	0.00020016	10.838538	1.581599	1.3460744	AT3G18930	RING-H2 finger protein ATL65
267078_at	0.0517	0.00020345	-10.798646	1.566649	-1.2334188	AT2G40960	Single-stranded nucleic acid binding R3H protein
245193_at	0.0517	0.00020563	10.772592	1.556843	1.2187889	SUFE2	sulfur E2
248271_at	0.0517	0.00020618	-10.766001	1.554357	-1.4196369	AT5G53420	CCT motif family protein
249035_at	0.0517	0.00021215	-10.696567	1.528041	-1.6494189	GLK2	transcription activator GLK2
250398_at	0.0517	0.00021599	10.653133	1.511459	1.5105226	AT5G11000	hypothetical protein
261177_at	0.0517	0.00021604	-10.652589	1.511251	-2.9879395	AT1G04770	tetratricopeptide repeat-containing protein
254159_at	0.0517	0.00021744	10.636935	1.505252	1.278073	WRKY7	WRKY transcription factor-like calmodulin binding protein
261459_at	0.0517	0.00021786	10.632289	1.503469	1.5708897	AT1G21100	indole glucosinolate o-methyltransferase 1
258167_at	0.0517	0.00021924	-10.617047	1.497612	-1.7782672	UGT84A2	sinapic acid:UDP-glucose glucosyltransferase
258218_at	0.0517	0.00022006	-10.608111	1.494173	-2.0989438	CPuORF30///XPL1	conserved peptide upstream open reading frame 30///phosphoethanolamine N-methyltransferase 1
267288_at	0.0517	0.00022033	10.605182	1.493045	1.8626115	AT2G23680	Cold acclimation protein WCOR413 family
252363_at	0.0517	0.00022193	-10.587753	1.486323	-1.4484579	AT3G48460	GDSL esterase/lipase
260769_at	0.0517	0.0002244	-10.561163	1.476039	-1.249183	AT1G49010	myb/SANT-like DNA-binding domain-containing protein
252501_at	0.0517	0.00022765	10.526758	1.462679	1.1915037	AT3G46880	hypothetical protein
251643_at	0.0517	0.00023316	10.469758	1.440414	1.2433854	AGK2	guanylate kinase
261059_at	0.0517	0.00023408	-10.460413	1.436748	-1.3382771	AT1G01250	ethylene-responsive transcription factor ERF023
263780_at	0.0517	0.00023741	-10.426871	1.423553	-1.3832578	SPA1	protein SUPPRESSOR OF PHYA-105
257925_at	0.0517	0.00023758	-10.425201	1.422894	-1.3497464	AT3G23170	hypothetical protein
261449_at	0.0517	0.00023995	10.401691	1.413609	2.0910883	AT1G21120	O-methyltransferase family protein
252863_at	0.0517	0.00024055	-10.395775	1.411268	-1.3657084	MIPS1	myo-inositol-1-phosphate synthase 1
247327_at	0.0517	0.0002448	10.354495	1.394882	1.3348506	AT5G64120	peroxidase 71
254053_s_at	0.0517	0.00024871	10.317275	1.380033	1.233098	AT4G25310///AT4G25300	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein///2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
249752_at	0.0517	0.00025056	-10.299876	1.373066	-3.1151058	LSU2	protein RESPONSE TO LOW SULFUR 2
264436_at	0.0517	0.00025327	-10.27469	1.362953	-1.2207382	ERD9	glutathione S-transferase U17
249052_at	0.0517	0.00025354	-10.272234	1.361966	-1.9777393	PDF1.2	ethylene- and jasmonate-responsive plant defensin
256094_at	0.0517	0.00025416	10.266564	1.359683	1.3325682	SAUL1	senescence-associated E3 ubiquitin ligase 1
254052_at	0.0517	0.00025629	10.247065	1.351823	1.4084851	AT4G25280	probably adenylate kinase
249783_at	0.0522	0.00026473	10.171799	1.321291	1.765062	SOS3	calcineurin B-like protein 4
263252_at	0.0522	0.00026563	-10.163967	1.318097	-1.9332974	STH	B-box zinc finger protein STH
258277_at	0.0522	0.00027013	10.125152	1.302217	1.4836313	PAD3	protein PHYTOALEXIN DEFICIENT 3
263153_s_at	0.0522	0.00027139	-10.114435	1.297818	-2.3997413	AT1G54010///AT1G54000	GDSL esterase/lipase///GDSL esterase/lipase
253879_s_at	0.0522	0.00027161	-10.112539	1.297039	-1.2185346	AT4G27570///AT4G27560	UDP-glycosyltransferase 79B3///UDP-glycosyltransferase 79B2
249409_at	0.0522	0.00027375	10.094526	1.289629	1.139161	AT5G40340	PWWP domain-containing protein
257299_at	0.0522	0.00028376	-10.012234	1.255554	-1.1697071	AT3G28050	nodulin MtN21-like transporter UMAMIT41
266173_at	0.0522	0.000284	10.01033	1.254761	1.158323	AT2G02410	hypothetical protein
257828_at	0.0522	0.00028728	9.984146	1.243838	1.483555	AT3G26670	hypothetical protein
245734_at	0.0522	0.00028742	-9.983102	1.243402	-1.6085591	AT1G73480	alpha/beta-Hydrolases superfamily protein
254746_at	0.0522	0.0002926	-9.942508	1.22639	-1.6674892	AT4G12980	putative auxin-responsive protein
248912_at	0.0522	0.00029416	-9.930477	1.22133	-1.9260224	AT5G45670	GDSL esterase/lipase
258947_at	0.0522	0.00029429	9.929489	1.220914	1.4837227	AT3G01830	putative calcium-binding protein CML40
264931_at	0.0522	0.00029439	-9.928703	1.220583	-2.8499472	AT1G60590	pectin lyase-like protein
249485_at	0.0522	0.00029454	9.927579	1.22011	1.8477058	AT5G39020	putative receptor-like protein kinase
261663_at	0.0522	0.0002969	-9.909503	1.212491	-1.5739006	EPR1	early-phytochrome-responsive1
247532_at	0.0522	0.000298	9.901168	1.208971	1.5270611	AT5G61560	U-box domain-containing protein 51
254396_at	0.0522	0.00030166	9.873633	1.197315	1.2875789	NRT1.8	nitrate transporter 1.8
255579_at	0.0522	0.0003048	-9.850319	1.187413	-1.231178	AT4G01460	transcription factor bHLH57
254016_at	0.0522	0.00030603	9.841275	1.183564	1.2137556	CGA1	putative GATA transcription factor 22
255284_at	0.0522	0.00030637	-9.838792	1.182506	-1.4504606	APR1	5'-adenylylsulfate reductase 1
257829_at	0.0538	0.00031821	9.754012	1.146181	1.3809538	SNM1	DNA cross-link repair protein SNM1
253608_at	0.0539	0.00032149	9.731219	1.136345	2.5709046	XTH19	xyloglucan endotransglucosylase/hydrolase 19
251519_at	0.0542	0.00032847	-9.683597	1.115696	-1.3449465	GUN4	protein GENOMES UNCOUPLED 4
246403_at	0.0542	0.00033146	-9.663569	1.106973	-1.3141609	AT1G57590	pectinacetylesterase family protein
265135_at	0.0542	0.00033332	9.651188	1.101569	1.1347961	AT1G51270	vesicle-associated protein 1-4
248185_at	0.0542	0.00033671	-9.628933	1.091831	-2.6841079	UF3GT	anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase
266223_at	0.0542	0.00033846	-9.617537	1.086834	-2.4560278	AT2G28790	pathogenesis-related thaumatin-like protein
258100_at	0.0542	0.00033949	9.610867	1.083905	3.8998123	AT3G23550	MATE efflux family protein LAL5
253140_at	0.0542	0.00034336	9.585994	1.072962	1.0899312	RHA3B	putative RING-H2 finger protein RHA3b
251621_at	0.0542	0.00034405	9.581595	1.071023	1.324779	AT3G57700	putative protein kinase
253828_at	0.0542	0.00034764	9.55886	1.060982	1.4370906	SLAH2	SLAC1 homologue 2
248123_at	0.0542	0.00035086	9.538755	1.052076	2.1458137	AT5G54720	ankyrin repeat-containing protein
257038_at	0.0542	0.00035099	9.537953	1.051721	1.1107338	LOH2	LAG1 longevity assurance-like 2
247118_at	0.0542	0.0003517	-9.533509	1.049749	-1.2028266	ACR1	ACT domain repeat 1
264321_at	0.0551	0.00035974	9.484344	1.027854	1.2197683	AT1G04200	hypothetical protein
261934_at	0.0563	0.00037035	9.421469	0.999642	1.4623565	UGT85A1	UDP-glycosyltransferase 85A1
256177_at	0.0567	0.00037667	9.385007	0.98317	1.1483091	AT1G51620	protein kinase superfamily protein
250741_at	0.0567	0.00037791	9.377999	0.979995	1.1511225	AT5G05790	duplicated SANT DNA-binding domain-containing protein
245196_at	0.0572	0.00038603	-9.332413	0.959268	-1.3074013	AT1G67750	putative pectate lyase 5
246231_at	0.0572	0.00038622	-9.331364	0.958789	-1.0917635	AT4G37080	hypothetical protein
251775_s_at	0.0583	0.00039599	-9.278086	0.934397	-1.4091084	P5CS2///P5CS1	delta 1-pyrroline-5-carboxylate synthase 2///delta1-pyrroline-5-carboxylate synthase 1
260070_at	0.0584	0.00039957	9.258954	0.925595	1.3915239	BEE3	transcription factor BEE 3
254408_at	0.0587	0.0004064	9.223054	0.909016	1.942468	B120	G-type lectin S-receptor-like serine/threonine-protein kinase B120
264506_at	0.0587	0.00040852	9.212064	0.903924	1.2480703	GLP5	germin-like protein 5
252954_at	0.0587	0.00040906	-9.20927	0.902628	-1.1852479	AT4G38660	pathogenesis-related thaumatin-like protein
245130_at	0.0596	0.00041948	-9.156259	0.877951	-1.3744455	AT2G45340	putative leucine-rich repeat transmembrane protein kinase
264240_at	0.0596	0.0004208	-9.149688	0.87488	-1.2918547	AT1G54820	putative serine/threonine protein kinase
260068_at	0.0602	0.00042788	9.11472	0.858489	1.3797834	AT1G73805	protein SAR Deficient 1
252827_at	0.0615	0.00043933	-9.059619	0.8325	-2.6227618	CYP79B2	tryptophan N-monooxygenase 1
257624_at	0.0621	0.0004463	9.026887	0.816969	1.8539016	CYP71B3	cytochrome P450 71B3
258282_at	0.0622	0.00044977	9.010854	0.809335	1.1452954	AT3G26910	hydroxyproline-rich glycoprotein family protein
248467_at	0.0627	0.00045723	-8.976823	0.793077	-1.0198215	AT5G50800	bidirectional sugar transporter SWEET13
258786_at	0.0627	0.00046155	8.95747	0.783797	1.3693158	SYP121	syntaxin-121
256576_at	0.0627	0.00046315	8.950341	0.780372	1.0952113	PMZ	zinc finger (AN1-like) family protein
254794_at	0.0627	0.00046524	-8.941067	0.775912	-1.1826989	STOMAGEN	epidermal patterning factor-like protein 9
246532_at	0.0627	0.00046942	8.922678	0.767051	1.5610912	AT5G15870	glycosyl hydrolase family 81 protein
252924_at	0.0627	0.00047439	8.901096	0.756623	1.7237458	AT4G39070	putative zinc finger transcription factor BZS1
248910_at	0.0627	0.000476	-8.894145	0.753258	-1.8048591	CIPK20	CBL-interacting serine/threonine-protein kinase 20
252976_s_at	0.0627	0.00047802	8.885502	0.749069	1.5289158	AT4G38550	phospholipase like protein (PEARLI 4) family
256096_at	0.0627	0.0004801	-8.876634	0.744766	-3.1848464	AT1G13650	hypothetical protein
266993_at	0.0627	0.00048097	8.872927	0.742965	1.7905628	AT2G39210	major facilitator protein
252984_at	0.0634	0.00048917	-8.838488	0.726195	-1.3548441	ELI3-2	cinnamyl alcohol dehydrogenase 8
252825_at	0.0643	0.00049885	8.798667	0.706703	1.726861	RABH1c	Ras-related protein RABH1c
254093_at	0.0643	0.00050234	8.784564	0.699774	1.9741196	MC2	metacaspase 2
254389_s_at	0.0643	0.00051029	-8.752854	0.684145	-1.3071674	AT4G21903///AT4G21910	mate efflux domain-containing protein///MATE efflux family protein
254356_at	0.0643	0.00051123	-8.749145	0.682313	-1.0131323	AT4G22190	hypothetical protein
259116_at	0.0643	0.00051253	8.744011	0.679774	1.128106	AT3G01350	putative peptide/nitrate transporter
250155_at	0.0643	0.000515	-8.734339	0.674987	-1.5607206	BNQ2	protein banquo 2
256756_at	0.0643	0.0005162	8.729636	0.672657	1.4143996	AT3G25610	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
250892_at	0.0654	0.00052723	-8.687203	0.651566	-1.0599278	ATCSLA09	glucomannan 4-beta-mannosyltransferase 9
261718_at	0.0654	0.00053372	8.662739	0.639349	2.2274773	AT1G18390	probable serine/threonine-protein kinase
245629_at	0.0654	0.00053913	-8.642588	0.629255	-1.1646417	SVB	protein SMALLER WITH VARIABLE BRANCHES
264319_at	0.0654	0.00054011	-8.638975	0.627443	-1.1877052	SDD1	subtilisin-like protease SDD1
261907_at	0.0654	0.00054664	-8.615055	0.615417	-2.0708064	4CL3	4-coumarate--CoA ligase 3
248625_at	0.0654	0.00054679	-8.614493	0.615134	-1.1139679	PKT2	3-keto-acyl-CoA thiolase 2
264178_at	0.0654	0.00054693	8.613983	0.614877	1.1067781	AMC1	metacaspase 1
249606_at	0.0654	0.0005486	8.607943	0.611834	1.7931043	RVE2	MYB family transcription factor Circadian 1
258299_at	0.0654	0.00055025	-8.601987	0.60883	-1.3647862	FAO3	long-chain-alcohol oxidase FAO3
246310_at	0.0656	0.00055517	-8.584303	0.599898	-0.9790763	SULTR3;1	sulfate transporter 3;1
265443_at	0.0663	0.00057359	-8.519844	0.567149	-1.9989175	EXPB1	expansin B1
247716_at	0.0663	0.00057362	-8.519759	0.567106	-1.9141124	AT5G59350	hypothetical protein
247946_at	0.0663	0.00057413	-8.518	0.566208	-1.8282892	CIA2	chloroplast import apparatus 2 protein
253073_at	0.0663	0.00057728	-8.507223	0.560702	-3.1125917	CYP81F4	cytochrome P450, family 81, subfamily F, polypeptide 4
254662_at	0.0663	0.00057911	-8.501027	0.557533	-1.7801683	TRANS11	phospho-N-acetylmuramoyl-pentapeptide-transferase-like protein
245724_at	0.0663	0.00057957	-8.499461	0.556732	-1.2833655	AT1G73390	Endosomal targeting BRO1-like domain-containing protein
259528_at	0.0663	0.0005817	-8.492266	0.553047	-1.0144389	AT1G12330	hypothetical protein
245112_at	0.0671	0.00059369	-8.452315	0.532521	-0.9600966	GPDHC1	glycerol-3-phosphate dehydrogenase [NAD(+)] GPDHC1
266761_at	0.0671	0.00059429	8.450312	0.531489	1.3942944	AT2G47130	short-chain dehydrogenase reductase 3
260385_at	0.0681	0.00060632	-8.411256	0.511305	-1.5867421	SOT18	desulfo-glucosinolate sulfotransferase 18
248889_at	0.0685	0.00061601	8.380464	0.495312	1.2880615	AT5G46230	hypothetical protein
258376_at	0.0685	0.00062312	-8.358216	0.483714	-1.0806491	AT3G17680	Kinase interacting (KIP1-like) family protein
245523_at	0.0685	0.00062567	-8.350334	0.479597	-1.309567	DI21	protein DROUGHT-INDUCED 21
264351_at	0.0685	0.00062741	8.344958	0.476785	0.9540079	AT1G03370	C2 calcium/lipid-binding and GRAM domain containing protein
259660_at	0.0685	0.00062768	-8.344143	0.476359	-1.3603162	AT1G55260	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
258613_at	0.0685	0.00063222	-8.330208	0.469061	-1.0366786	VTC4	L-galactose-1-phosphate phosphatase
250149_at	0.0685	0.0006455	-8.290204	0.448031	-1.4045652	AT5G14700	Rossmann-fold NAD(P)-binding domain-containing protein
257950_at	0.0685	0.00065079	8.274541	0.439764	1.3672129	UGT71B6	UDP-glucosyl transferase 71B6
256999_at	0.0685	0.00065276	-8.268749	0.436703	-0.9794667	AT3G14200	chaperone DnaJ-domain containing protein
261913_at	0.0685	0.00065454	-8.263537	0.433945	-1.6655518	FMO GS-OX1	flavin-containing monooxygenase FMO GS-OX1
246935_at	0.0685	0.00065769	8.254343	0.429077	1.3665073	EBF2	EIN3-binding F-box protein 2
245444_at	0.0685	0.00066204	-8.241727	0.422386	-1.0498005	TPS03	tricyclene synthase
251984_at	0.0685	0.00066834	-8.223651	0.412778	-1.0037713	PAL2	phenylalanine ammonia-lyase 2
267472_at	0.0685	0.00066859	-8.222945	0.412402	-1.3057284	ARPN	plantacyanin
256924_at	0.0685	0.0006698	-8.219497	0.410566	-2.3529259	AT5MAT	malonyl-CoA:anthocyanidin 5-O-glucoside-6"-O-malonyltransferase
248961_at	0.0685	0.00067665	-8.200121	0.400233	-1.0109958	AT5G45650	subtilase family protein
250875_at	0.0685	0.00067882	8.194028	0.396978	1.3381676	AT5G04020	calmodulin-binding protein
254110_at	0.0685	0.00067947	8.192229	0.396016	1.3337593	AT4G25260	plant invertase/pectin methylesterase inhibitor domain-containing protein
255675_at	0.0685	0.00068065	-8.188919	0.394246	-0.9388219	ATMYC1	transcription factor MYC1
264951_at	0.0685	0.0006839	8.17989	0.389414	1.4841226	AT1G76970	Target of Myb protein 1
264873_at	0.0685	0.00068823	-8.1679	0.382987	-1.3942179	UGT74B1	UDP-glucosyl transferase 74B1
253270_at	0.0685	0.00069503	-8.149302	0.372997	-0.9635158	CYCD3;1	cyclin-D3-1
266017_at	0.0685	0.00069838	8.140217	0.368107	1.6708307	AT2G18690	hypothetical protein
262531_at	0.0685	0.00069902	8.138481	0.367172	0.9939626	AT1G17230	leucine-rich receptor-like protein kinase
246468_at	0.0685	0.00070116	-8.132706	0.364059	-1.7859158	UGT78D2	anthocyanidin 3-O-glucosyltransferase
254072_at	0.0685	0.00070124	8.132475	0.363935	1.169359	AT4G25370	Double Clp-N motif protein
255116_at	0.0685	0.00070427	8.124337	0.359544	1.1947124	AT4G08850	probable LRR receptor-like serine/threonine-protein kinase
263809_at	0.0685	0.00070456	-8.12358	0.359136	-1.3158355	AT2G04570	GDSL esterase/lipase
262164_at	0.0685	0.00070513	-8.122041	0.358305	-1.865282	AT1G78070	transducin/WD40 repeat-like superfamily protein
248974_at	0.0685	0.00071129	8.105665	0.349451	0.9143657	AT5G45060	TIR-NBS-LRR class disease resistance protein
265893_at	0.0685	0.00071504	8.095772	0.344093	1.2668839	AT2G15042	Leucine-rich repeat (LRR) family protein
260269_at	0.0685	0.00071598	8.093302	0.342754	0.9558928	AT1G63740	TIR-NBS-LRR class disease resistance protein
262760_at	0.0685	0.00071632	8.092404	0.342267	0.9754442	AT1G10770	putative pectin methylesterase/invertase inhibitor
255438_at	0.0685	0.00071698	-8.090668	0.341325	-1.3699887	AOP1	oxidoreductase AOP1
249459_at	0.0685	0.00071769	8.088825	0.340325	1.2814326	AT5G39580	peroxidase 62
263443_at	0.0685	0.00072081	8.080669	0.335897	2.5175885	KCS12	3-ketoacyl-CoA synthase 12
251174_at	0.0685	0.00072181	-8.078073	0.334487	-1.7619215	PLP9	PATATIN-like protein 9
254549_at	0.0685	0.00072417	8.071935	0.33115	0.9763007	AT4G19880	Glutathione S-transferase family protein
263739_at	0.0687	0.00073303	-8.049171	0.318749	-2.3574472	AT2G21320	B-BOX domain protein 18
266720_s_at	0.0687	0.00074079	-8.029482	0.307989	-0.9660133	PRR9///AT2G46670	two-component response regulator-like APRR9///CCT motif family protein
246990_at	0.0687	0.00074344	-8.022824	0.304344	-1.2340098	ARA12	subtilisin-like protease
253966_at	0.0687	0.00074476	-8.019517	0.302532	-1.014622	AT4G26520	fructose-bisphosphate aldolase 7
261957_at	0.0687	0.00074542	-8.01785	0.301619	-1.0369764	MGL	methionine gamma-lyase
260143_at	0.0687	0.00075726	7.988526	0.285511	0.9556479	SUC1	sucrose transport protein SUC1
262113_at	0.0687	0.00075818	-7.986283	0.284277	-1.8572123	AT1G02820	late embryogenesis abundant 3-like protein
